location,bhk,area_sqft,bathrooms,furnishing,parking,rent
Borivali,3,1093,2.0,Unfurnished,0,49669
Chembur,2,731,1.0,Fully-Furnished,1,48883
Malad,1,351,1.0,Unfurnished,0,17747
Powai,2,698,1.0,Semi-Furnished,0,59672
Borivali,1,357,1.0,Unfurnished,0,18307
Dadar,1,425,2.0,Unfurnished,1,44426
Dadar,1,314,1.0,Semi-Furnished,0,33902
Bandra,3,1109,4.0,Semi-Furnished,1,124260
Chembur,3,1071,4.0,Unfurnished,0,69738
Goregaon,2,549,3.0,Unfurnished,1,31517
Andheri,3,1088,3.0,Unfurnished,0,73485
Borivali,3,978,3.0,Unfurnished,0,48195
Powai,2,736,2.0,Unfurnished,1,51620
Andheri,3,987,3.0,Semi-Furnished,1,66146
Kandivali,2,712,1.0,Unfurnished,1,36535
Thane,1,468,2.0,Fully-Furnished,1,28874
Powai,1,423,2.0,Unfurnished,1,36429
Kandivali,1,407,1.0,Unfurnished,1,22006
Dadar,2,630,2.0,Semi-Furnished,0,59268
Powai,2,646,3.0,Semi-Furnished,1,57019
Andheri,1,300,1.0,Semi-Furnished,0,19772
Andheri,4,1364,5.0,Fully-Furnished,0,106892
Bandra,2,857,2.0,Semi-Furnished,1,80704
Andheri,3,1162,3.0,Unfurnished,1,66206
Andheri,1,504,1.0,Semi-Furnished,1,35747
Powai,3,1007,3.0,Unfurnished,1,86129
Borivali,4,1368,3.0,Unfurnished,1,63743
Kandivali,2,783,1.0,Semi-Furnished,0,43637
Andheri,1,300,1.0,Semi-Furnished,1,24895
Dadar,3,1099,3.0,Fully-Furnished,1,132434
Chembur,2,713,2.0,Semi-Furnished,1,42930
Dadar,3,989,4.0,Unfurnished,1,82988
Powai,3,980,3.0,Semi-Furnished,0,85193
Malad,4,1472,4.0,Fully-Furnished,1,96585
Andheri,1,300,1.0,Fully-Furnished,0,25235
Thane,3,1098,3.0,Fully-Furnished,1,56773
Thane,1,341,1.0,Semi-Furnished,1,17355
Kandivali,4,1308,4.0,Semi-Furnished,1,83895
Andheri,3,1083,3.0,Unfurnished,1,65544
Powai,2,641,2.0,Semi-Furnished,1,58037
Andheri,1,305,1.0,Unfurnished,1,21084
Bandra,2,603,2.0,Semi-Furnished,0,71314
Kandivali,3,1078,2.0,Semi-Furnished,1,53078
Thane,2,668,2.0,Semi-Furnished,1,38058
Dadar,1,341,1.0,Semi-Furnished,0,31928
Thane,1,339,2.0,Semi-Furnished,0,18121
Andheri,2,674,1.0,Semi-Furnished,0,44373
Borivali,3,1182,3.0,Unfurnished,1,57227
Thane,1,300,,Unfurnished,1,16195
Dadar,1,306,1.0,Semi-Furnished,1,34368
Kandivali,4,1374,4.0,Semi-Furnished,1,82637
Andheri,2,777,3.0,Semi-Furnished,0,60240
Dadar,2,826,1.0,Fully-Furnished,1,82277
Powai,3,958,2.0,Unfurnished,0,76084
Bandra,1,300,1.0,Unfurnished,1,33962
Kandivali,2,697,2.0,Semi-Furnished,1,36380
Chembur,3,999,3.0,Semi-Furnished,1,69460
Powai,4,1256,4.0,Semi-Furnished,1,101031
Thane,1,441,1.0,Unfurnished,1,23469
Dadar,3,1104,2.0,Unfurnished,1,94228
Powai,1,375,2.0,Semi-Furnished,1,35077
Thane,1,439,1.0,Fully-Furnished,1,31023
Goregaon,1,375,1.0,Unfurnished,0,22904
Kandivali,3,1054,3.0,Semi-Furnished,0,59691
Bandra,3,1053,3.0,Fully-Furnished,1,120036
Andheri,3,1073,2.0,Fully-Furnished,1,82444
Powai,3,887,3.0,Unfurnished,1,79457
Bandra,2,725,1.0,Semi-Furnished,0,72145
Goregaon,2,755,2.0,Semi-Furnished,1,46252
Thane,1,417,1.0,Semi-Furnished,1,21451
Andheri,2,769,1.0,Fully-Furnished,1,60402
Chembur,2,675,2.0,Unfurnished,1,38646
Kandivali,1,300,2.0,Fully-Furnished,1,20751
Andheri,2,838,3.0,Unfurnished,1,48886
Malad,4,1459,4.0,Unfurnished,1,85681
Thane,1,444,2.0,Fully-Furnished,1,27789
Kandivali,2,690,2.0,Unfurnished,0,38423
Borivali,3,1050,2.0,Semi-Furnished,1,57580
Powai,1,300,1.0,Unfurnished,0,23265
Andheri,3,927,4.0,Unfurnished,1,67528
Malad,3,1144,3.0,Fully-Furnished,0,73741
Goregaon,2,491,1.0,Semi-Furnished,1,30433
Powai,4,1416,4.0,Semi-Furnished,1,123441
Powai,4,1416,5.0,Fully-Furnished,0,117346
Kandivali,3,1048,4.0,Unfurnished,0,58184
Malad,2,789,3.0,Unfurnished,1,39565
Borivali,1,300,2.0,Semi-Furnished,1,20798
Bandra,2,749,2.0,Unfurnished,0,69730
Thane,2,528,2.0,Unfurnished,1,29129
Goregaon,1,507,2.0,Fully-Furnished,1,36637
Andheri,2,749,1.0,Fully-Furnished,1,61317
Chembur,2,578,3.0,Semi-Furnished,0,42586
Chembur,1,419,1.0,Semi-Furnished,0,26820
Kandivali,2,630,2.0,Unfurnished,0,32200
Goregaon,3,1056,2.0,Fully-Furnished,1,68416
Dadar,2,676,3.0,Semi-Furnished,1,79575
Chembur,2,539,1.0,Unfurnished,1,34874
Bandra,1,300,1.0,Unfurnished,0,29455
Malad,2,795,2.0,Unfurnished,0,40657
Borivali,3,1063,3.0,Fully-Furnished,1,70882
Andheri,2,765,2.0,Semi-Furnished,1,56271
Powai,3,977,4.0,Unfurnished,0,80849
Kandivali,3,1051,3.0,Semi-Furnished,1,57536
Andheri,2,865,2.0,Fully-Furnished,0,56924
Bandra,1,344,1.0,Semi-Furnished,0,34510
Andheri,3,1005,2.0,Semi-Furnished,1,77272
Powai,1,389,2.0,Fully-Furnished,1,45373
Thane,1,324,1.0,Unfurnished,1,17070
Dadar,2,836,3.0,Semi-Furnished,1,88221
Powai,2,513,1.0,Unfurnished,1,45789
Borivali,2,516,2.0,Semi-Furnished,0,32207
Dadar,3,1100,3.0,Semi-Furnished,1,125235
Goregaon,2,766,2.0,Unfurnished,1,41145
Thane,3,1133,3.0,Unfurnished,1,52862
Dadar,2,664,2.0,Semi-Furnished,1,68250
Powai,3,919,2.0,Fully-Furnished,1,92119
Chembur,2,628,2.0,Semi-Furnished,1,35305
Chembur,2,683,3.0,Semi-Furnished,0,44894
Dadar,3,1001,2.0,Semi-Furnished,1,106591
Chembur,3,999,4.0,Unfurnished,1,58836
Malad,2,564,1.0,Semi-Furnished,0,35343
Goregaon,1,300,1.0,Fully-Furnished,1,20275
Borivali,2,673,2.0,Unfurnished,1,39386
Malad,1,300,2.0,Unfurnished,1,19425
Malad,1,356,1.0,Fully-Furnished,0,20614
Malad,3,942,3.0,Semi-Furnished,0,55549
Borivali,2,654,2.0,Unfurnished,0,35033
Chembur,2,783,2.0,Semi-Furnished,1,47286
Bandra,2,671,3.0,Fully-Furnished,1,87230
Kandivali,2,611,2.0,Fully-Furnished,1,46491
Borivali,3,1107,2.0,Semi-Furnished,0,53483
Thane,1,300,1.0,Fully-Furnished,1,20851
Chembur,3,1027,3.0,Fully-Furnished,0,67807
Borivali,3,1076,3.0,Fully-Furnished,1,71447
Dadar,2,663,2.0,Unfurnished,1,64614
Malad,3,1125,3.0,Fully-Furnished,1,72422
Chembur,1,372,1.0,Fully-Furnished,1,28384
Powai,2,769,1.0,Unfurnished,0,61572
Dadar,1,373,1.0,Unfurnished,1,35837
Thane,3,989,2.0,Semi-Furnished,1,52294
Borivali,1,316,1.0,Fully-Furnished,1,20516
Goregaon,2,794,1.0,Unfurnished,1,44397
Bandra,1,322,2.0,Fully-Furnished,0,41665
Chembur,2,718,3.0,Semi-Furnished,1,50181
Chembur,4,1331,5.0,Semi-Furnished,0,90253
Dadar,1,554,1.0,Semi-Furnished,1,53774
Goregaon,1,347,1.0,Semi-Furnished,1,26024
Powai,3,1100,3.0,Unfurnished,0,90252
Thane,1,344,1.0,Unfurnished,1,19053
Powai,3,1094,3.0,Semi-Furnished,1,102477
Bandra,2,734,2.0,Semi-Furnished,1,82164
Borivali,1,300,2.0,Unfurnished,1,19971
Bandra,3,1044,3.0,Fully-Furnished,0,121833
Chembur,1,300,1.0,Semi-Furnished,1,23205
Chembur,2,647,2.0,Semi-Furnished,1,46390
Bandra,1,356,2.0,Fully-Furnished,0,48368
Dadar,1,557,2.0,Fully-Furnished,1,60166
Goregaon,2,839,1.0,Unfurnished,1,46311
Bandra,2,545,3.0,Unfurnished,1,52686
Thane,3,1036,4.0,Fully-Furnished,1,60342
Bandra,1,363,1.0,Fully-Furnished,0,45845
Bandra,2,737,2.0,Fully-Furnished,1,95171
Powai,2,564,2.0,Fully-Furnished,1,58248
Chembur,3,1228,2.0,Semi-Furnished,1,73189
Thane,1,320,2.0,Semi-Furnished,0,19085
Bandra,3,1093,2.0,Semi-Furnished,0,124986
Malad,2,697,2.0,Fully-Furnished,0,50818
Thane,4,1472,4.0,Unfurnished,1,71058
Andheri,3,1097,2.0,Unfurnished,0,71483
Goregaon,4,1425,5.0,Unfurnished,1,78290
Kandivali,2,656,2.0,Unfurnished,1,37467
Borivali,1,330,1.0,Semi-Furnished,0,17272
Chembur,3,1018,3.0,Semi-Furnished,1,63386
Thane,1,364,1.0,Fully-Furnished,0,21741
Malad,3,994,4.0,Unfurnished,1,55567
Dadar,2,563,1.0,Unfurnished,0,53238
Powai,2,754,2.0,Semi-Furnished,0,63898
Borivali,3,1116,3.0,Semi-Furnished,1,59849
Powai,4,1382,3.0,Fully-Furnished,1,123542
Dadar,2,771,2.0,Semi-Furnished,0,73010
Andheri,3,1126,4.0,Semi-Furnished,0,76480
Goregaon,3,1106,3.0,Semi-Furnished,0,70345
Thane,4,1531,5.0,Semi-Furnished,0,88503
Goregaon,1,300,1.0,Fully-Furnished,0,22623
Andheri,1,336,1.0,Fully-Furnished,1,26798
Goregaon,3,972,2.0,Unfurnished,1,54473
Malad,2,741,3.0,Fully-Furnished,0,55315
Andheri,1,328,2.0,Unfurnished,0,21907
Malad,2,779,2.0,Unfurnished,1,43889
Chembur,2,844,3.0,Fully-Furnished,1,64082
Dadar,2,709,2.0,Fully-Furnished,1,84895
Goregaon,1,484,2.0,Unfurnished,0,26354
Powai,1,391,1.0,Unfurnished,0,28670
Malad,3,1053,3.0,Semi-Furnished,0,61080
Malad,1,329,,Fully-Furnished,1,20711
Chembur,2,601,3.0,Semi-Furnished,1,37834
Powai,2,834,3.0,Semi-Furnished,1,71512
Dadar,2,752,2.0,Unfurnished,1,59749
Bandra,2,649,3.0,Semi-Furnished,1,75967
Kandivali,1,347,1.0,Unfurnished,1,21390
Chembur,2,645,1.0,Unfurnished,1,38478
Bandra,3,1051,4.0,Unfurnished,1,104896
Kandivali,1,356,1.0,Semi-Furnished,0,18243
Thane,1,470,2.0,Unfurnished,1,26275
Thane,2,819,3.0,Fully-Furnished,1,51060
Malad,1,323,1.0,Unfurnished,0,16378
Kandivali,1,339,1.0,Unfurnished,0,16154
Powai,1,361,1.0,Semi-Furnished,0,31778
Bandra,2,614,2.0,Unfurnished,1,62660
Kandivali,3,1018,3.0,Semi-Furnished,1,57882
Thane,4,1464,4.0,Fully-Furnished,1,79536
Bandra,1,364,1.0,Unfurnished,1,37694
Dadar,3,1101,2.0,Semi-Furnished,1,98116
Bandra,4,1480,3.0,Unfurnished,0,139196
Dadar,3,1122,2.0,Fully-Furnished,1,121698
Andheri,1,336,1.0,Semi-Furnished,1,25225
Thane,2,876,3.0,Unfurnished,0,44773
Kandivali,2,736,2.0,Semi-Furnished,1,40092
Kandivali,4,1407,4.0,Semi-Furnished,1,74610
Borivali,3,1029,3.0,Unfurnished,0,52110
Malad,1,381,1.0,Unfurnished,0,18118
Powai,2,720,2.0,Unfurnished,1,55473
Goregaon,2,656,2.0,Unfurnished,1,39871
Kandivali,4,1334,4.0,Semi-Furnished,0,74942
Kandivali,1,553,1.0,Unfurnished,1,29665
Kandivali,2,714,1.0,Unfurnished,1,37601
Bandra,3,1084,2.0,Unfurnished,1,112153
Andheri,2,664,3.0,Fully-Furnished,0,51061
Andheri,1,300,1.0,Semi-Furnished,0,19893
Goregaon,2,635,2.0,Semi-Furnished,1,45857
Borivali,2,731,2.0,Semi-Furnished,0,42705
Dadar,1,300,1.0,Semi-Furnished,1,29817
Bandra,3,1065,4.0,Fully-Furnished,1,128055
Malad,1,300,1.0,Fully-Furnished,1,21491
Andheri,4,1243,4.0,Semi-Furnished,1,84669
Goregaon,1,300,1.0,Fully-Furnished,0,18262
Chembur,3,962,2.0,Semi-Furnished,1,60501
Andheri,3,1235,3.0,Fully-Furnished,1,99099
Thane,3,1106,3.0,Unfurnished,0,55204
Bandra,2,602,1.0,Unfurnished,1,56677
Borivali,4,1429,5.0,Fully-Furnished,0,96991
Andheri,1,314,2.0,Semi-Furnished,1,27411
